作者,内容,评论数
小肉卷,小时候不想打针，最后被妈妈按在病床上，还在拼命反抗！<br/>大夫温柔的说“你别怕，准备好了给我说我再打。”<br/>我深呼吸好一会，转过头去想告诉他我准备好了，却猝不及防看到屁股上打了一半的针。<br/>我那么相信你，你居然骗我！,5512
小手呀冰凉,接孩子放学久了认识一个宝妈，她想多挣点钱，就趁下班接完孩子后在小区菜鸟驿站做兼职，工作简单不累，就是把包裹扫码入库摆上货架，有人取件再扫码出库。最近突然不干了，很不好意思地说因为老想撕包裹，心痒难耐受不了了…,2523
小燕飞1206.,和大刚出差，到地儿很晚了。四处没房，好不容易找到可只有个大床房。<br/>和男人从没同过床，别扭死。大刚倒心宽，一会打了呼噜，太累我也睡着了。<br/>半夜惊醒，一只大手紧紧捂住我的嘴，我挣扎：“哥啊，我不喜欢男人呀”<br/>大刚哭着脸：‘’特么你想啥，你磨牙跟吃死人赛的，哥做梦都被丧.尸啃一晚了”,4127
匿名用户,最近不是经常下雨嘛，有时候雨下得还很突然。本来就没有下雨，lz大大咧咧的，也不是很在意，就没带伞，出去买东西了。当lz提着一大包吃的准备回家的时候，我的天，突然下起了大雨，打得脸疼，吓得lz回到了超市门口，默默打了电话让我爸开车来接我。打完电话后雨突然停了，我就打电话告诉我爸算了，不用来了，打完之后又开始下雨了，然后我又让我爸来接我，然后又突然不下了，以上过程再循环一次，我爸直接一句不来接我了就把手机挂了，我看着还在下的雨很尴尬，你们说这雨是不是成精了？？？怎么感觉它要搞我？？？这雨太可耻了，匿...,466
慢性子超人,真假孙悟空时，唐僧念紧箍咒，其中一个猴子疼的满地打滚，于是众人准备围攻没叫疼的那个猴子，这时唐僧说，我刚才假装念的...,3461
小玉不吃鱼,学校流传<br/>有一个师兄， 大一的时候买了一床1.8×2.0的床单 ，对折起来正反加起来就有四个面，每年用一个面（学校的床是0.9/2.0），四年四个面<br/>所以他四年都没洗过没换过床单！四年！一张床单就用完了整个大学！！,3859
吃了两碗又盛,几年前到外县看一个同学，晚上喝多了，同学非要领我去保健按摩，我拒绝了半天，心想不能做对不起媳妇的事？可是同学太热情了实在推脱不了，我又想，我就按个摩不做别的。<br/>后来我躺在按摩床上，被一个大汉揉来捏去，我就释然了，只是没感觉出怎么舒服。,4764
@不是吧@,转:早上送儿子去幼儿园，儿子哭着喊着让我给他买变形金刚，还说要买大黄蜂，我哄儿子说，等奶奶接你放学的时候，奶奶会给你买的。晚上下班，我推开门，发现婆婆脸上好几个大包，整个脸都肿了，一进门，婆婆向我诉苦：这个鳖孙真孬，非要大黄蜂，不给就躺地上打滚，没办法，我只能去公园里给他捉，你看我让马蜂给蜇的！,2439
白无鸢,骑着一个破车子去赶集，把车子放一个店门前，没锁车子。。。逛完街回来，发现车子找不到了，找地方休息一会，发现车子回来了，车筐里还多了一袋子苹果,再三确定是我的车子。高兴的把车子骑回家了！！！,6147
烟雨楼台夜朦胧,男朋友出差，家里粘鼠板抓到一只老鼠，活的不敢去抓，准备等男朋友回来处理。又不忍心饿死它，没事就丢给它上几颗米粒，，，后来粘鼠板居然失效，老鼠成功逃脱了！！！,2417
空中飞过一头猪,听表哥抱怨，表嫂越来越懒。他上次放假回家，发现表嫂为了少刷菜盘子，直接是端着锅给两个孩子分菜，就像古代的大户布施难民一样……,5960
黄山小妖,逛街时，一个乞讨的男子，拉着我的脚，一直喊，想起来了！想起来了！吓得我一直喊救命！这时，男子淡定的说道：“你还记得一年前，你开车路过这的时候，撞树上了！昏迷不醒，一个男的把你从车里救了出来！想起来没？”我一下就想起来了，拉着男子的手，激动的说道：“你是...”乞讨男子哭着说道：“对！我就是当时在树底下浇蚂蚁，被你撞失忆的那个...”,2466
小胖小肉肉,没生孩子前吧，胸是老公的玩具，生了孩子后胸是孩子的食粮，断奶之后吧，胸不仅是老公的玩具，更是孩子的玩具，每天早上叫醒我的不是闹钟，是拽胸的那只小肉手，儿呀，老娘的旺仔小馒头真那么好玩吗,3462
微微一笑很倾城…,送娃去幼儿园，由于某些原因，需要在寝室等孩子一会，<br/>孩子把我送到了寝室说：“妈妈，你在寝室等我，小心点啊！”<br/>我：“好的，宝宝放心！”<br/>孩子似乎又有什么不放心，说：“妈妈，你可不能上别人的床啊！”<br/>我：@@,2627
挖鼻孔的老虎,周日一个人去看电影，惬意、从容……<br/>旁边坐着个微胖妹子，拿着一只烤鸭在吃，一场电影下来，我起码咽了半斤口水！,7850
花朵朵~,奶奶小时候上学不多，在她的认识里，我上这些年学，应该是无所不能的。这不她手机坏了老爸说买个新的，奶奶说别乱花钱，让孙女给俢俢就行。<br/>我一脸懵逼，我没学过俢手机，不会啊！<br/>我可爱的奶奶就开始数落我：你上了这些年学，连个手机都不会俢，你是有多笨？<br/>我……,5547
二爷爱吃肉,奶奶是周六的生日，天气热不想让大家来（每次生日都是一大家子过来），怕中暑，她昨天见了二爸说不用来了，中午见到我说，回去和你爸说也别来了，然后给我大爸打电话，一个八十岁的老太太给一个快六十的老头说，天气热我让大家都别来了，你也别来了，要听话啊……<br/>不管多大，在奶奶眼里都是小孩,1632
呵呵呵一气呵成,娃儿爹说，准备过了年换家单位，我说，你想换就换呗，反正我跟娃儿一时是换不了单位了——还得跟着你。,1500
卡塔丽亚,老公喝醉酒，让我开车接他，LZ在电话里骂他丫的，“我都脱了衣服睡了还让我去接你！你娘的混蛋！”这货不紧不慢的说了句 ，“我也脱衣服了”。。。。。妈蛋，你特么在哪！！！,4512
徐家凤年,早几年的事了，失恋在家挺尸，当时饭也吃不下觉也睡不好，才六岁多的小侄子到我家玩，也不知道从哪里摸了一根烟，飘飘的做我床上就抽了起来，还一边抽一边摇头“哎，问世间情是何物 直教人生死相许……”完事弹弹烟灰，走了……尼玛，谁教的，虎的挺尸的我一愣一愣的,1725
缺根萝卜～,散步的时候我儿子突然撩起我的裙子……<br/>好运的是我穿了安全裤……<br/>悲催的是，那条安全裤上刚好破了个洞，周围都是正在散步的人……,2934
夜色依旧啊,昨天看到一条广告：全国比丑大赛，一等奖5000人民币，我高高兴兴的骑着我的自行车就去了比赛场地，结果到了保安不让我进，说这是业余人员之间的比赛，专业人士不让进。,6522
冷眸&amp;,女儿平常有点逗比…刚吃饭给她根骨头（她喜欢吃骨髓）她摇头拒绝，她爸爸问她怎么不吃了，她说女人都是善变的！擦！我这话咋那么耳熟,1482
政哥哥帅政哥哥酷政哥哥糗,今下午下雨了，下班的时候新来的一姐姐问我借伞，我说你不是开车来的么，还用伞？她说下雨天不敢开。我说你是不是分不清转向和雨刷。。。。,1021
冷雨苗苗,刚结婚时，怂恿老公去割包.皮。<br/><br/>进手术室他有点怕，非要我进去陪他，，在激光切割皮肉的时候，我尴尬的扭过了头。<br/><br/>老公动情的说：我听到你哽咽了，别难过，一会就好了。<br/><br/>我真不敢告诉他，其实我是闻到烤肉香吞口水了……,4740
今夜无歌,初中同学建了一个1994届学生群，我被拉了进群，有同学在群内发了一张毕业照，大家都在照片找自己所在的位置，我突然发现自己不在照片上，一回忆才知道我当时我留级了。<br/>尴尬之余我又加了1995届的学生群，吸取上次教训，别人爆毕业照时我就默不作声。<br/>昨天早上突然收微 信提示，有人拉我进1996届学生群！,3546
林晓九,跟男朋友聊天，问他为什么喜欢我?男朋友眼睛一眯 似在回忆过去恨恨说到:因为我好奇，一个胖成这样还没有胸的丑姑娘一天天乐的跟个二傻子似的到底为啥?<br/>现在我知道了，因为傻!可已经太迟了[大哭],3840
暗戀汶汶,哥们问我，说老婆怀孕了，自己又想做 爱做的事，究竟可不可以。我说应该可以吧，但一定要小心，次数不宜频繁，否则很容易被老婆发现。,5262
男要不要,男朋友吃完饭后就一直嘟囔肚子疼，我就说你去拉屎啊，他说和（喝）屎没有关系！我顺口来了句，那你喝尿啊,2058
缺根萝卜～,读书的时候暗恋学校帅帅的语文老师，为此写了一本厚厚的日记……后来快毕业的时候才知道他孩子都五六岁了。<br/>伤心之下半夜起来把那本日记本点燃了丢进了厕所。那时候厕所是那种旱厕，里面厚厚的一层粪壳上是堆积如山的手纸。<br/>那一晚，方圆几里的人都被臭醒了，只是没人知道，我才是幕后“煮屎”……,5623
纳梦若尘,lz教师，考试周，监考数日，习惯背手寻视考场。昨去买菜，竟情不自禁的背着手寻视起菜市场。到一对夫妻俩菜摊，问男主：这个土豆怎么卖？  男主兴许不常守摊，回头问女主：土豆多少钱一斤？不等女主开口，lz用监视考场的口气厉声呵斥到：不准交头接耳……<br/>夫妻俩被吓了一个哆嗦，定格那了……,4589
蓝色雨季→冰吻,昨晚下暴雨，天空霹啦一声巨响，媳妇吓得我往怀里钻：老公，我怕！我抱着媳妇说：打雷怕啥。这么大人了，你看咱儿子那么小都不怕，一转身，卧槽，我儿子呢?一瞅床下，看到儿子紧紧的搂我家着二哈。。。,7600
